n,pre_cut,post_cut,R,head4_rate_pct,hit_rate_pct,avg_comp_odds,profit_yen,roi_pct,R_feb_jun,hit_feb_jun_pct,roi_feb_jun_pct,profitable_months,months_present,median_month_roi_pct
2,0.15,0.15,396,29.797979797979796,7.575757575757576,13.240039845805663,-1306420.0,67.00959595959596,323,7.739938080495357,68.46965944272446,0,7,56.747727272727275
2,0.15,0.16,374,29.67914438502674,8.02139037433155,12.674790615732787,-1086420.0,70.95133689839572,304,8.223684210526317,72.74901315789474,0,7,59.45
2,0.15,0.17,352,30.681818181818183,7.954545454545454,12.291795168339227,-1146700.0,67.42329545454545,285,8.070175438596491,67.76456140350878,0,7,55.73555555555556
2,0.15,0.18,329,31.61094224924012,8.51063829787234,11.985189965952317,-916700.0,72.13677811550151,268,8.582089552238806,72.06305970149253,1,7,59.71666666666667
2,0.15,0.19,307,32.89902280130293,8.794788273615636,11.733588981656549,-763900.0,75.1172638436482,252,8.73015873015873,73.9718253968254,1,7,67.78648648648648
2,0.15,0.2,282,34.39716312056738,9.219858156028367,11.382282823391906,-609580.0,78.38368794326242,233,9.012875536480687,75.89742489270387,1,7,71.66
2,0.15,0.21,260,35.0,9.615384615384617,10.984983031759322,-502220.0,80.68384615384615,214,9.345794392523365,77.37242990654205,2,7,73.76764705882353
2,0.15,0.22,242,35.9504132231405,9.917355371900827,10.627331423220626,-436880.0,81.94710743801653,198,9.595959595959595,77.83383838383838,2,7,83.60333333333334
2,0.15,0.23,223,37.66816143497758,10.762331838565023,10.458038498372364,-246880.0,88.92914798206279,183,10.382513661202186,84.21366120218579,2,7,83.60333333333334
2,0.15,0.24,207,39.61352657004831,11.11111111111111,10.34854036384893,-181380.0,91.23768115942029,170,10.588235294117647,85.09470588235294,2,7,85.41875
2,0.15,0.25,190,40.526315789473685,11.578947368421053,10.486411388853913,-91940.0,95.16105263157895,155,10.967741935483872,88.13225806451612,2,7,74.02173913043478
2,0.15,0.26,172,40.69767441860465,10.465116279069768,10.410233537095609,-256880.0,85.06511627906977,139,9.352517985611511,73.46115107913668,2,7,76.234375
2,0.15,0.27,152,40.131578947368425,11.18421052631579,10.196873975571407,-163140.0,89.2671052631579,122,9.836065573770492,74.98770491803279,2,7,89.60526315789474
2,0.15,0.28,136,41.17647058823529,12.5,9.967817044916764,-3140.0,99.76911764705882,107,11.214953271028037,85.5,3,7,94.58333333333333
2,0.15,0.29,121,39.66942148760331,13.223140495867769,9.849585955170179,97180.0,108.03140495867768,93,11.827956989247312,93.02903225806452,4,7,100.1470588235294
2,0.15,0.3,112,39.285714285714285,13.392857142857142,9.666597967208954,103660.0,109.25535714285714,87,11.494252873563218,89.84482758620689,3,7,63.756
2,0.15,0.31,103,40.77669902912621,13.592233009708737,9.328029943777175,65350.0,106.34466019417475,80,11.25,81.6675,2,7,72.45
2,0.15,0.32,93,43.01075268817204,15.053763440860216,9.381166169703064,165350.0,117.77956989247312,70,12.857142857142856,93.33428571428571,3,7,78.84545454545454
2,0.16,0.15,377,30.50397877984085,7.957559681697612,12.623516496501958,-1116420.0,70.3867374005305,305,8.19672131147541,72.51049180327868,0,7,59.45
2,0.16,0.16,363,30.57851239669421,8.264462809917356,12.464296576174679,-976420.0,73.10137741046832,294,8.503401360544217,75.2234693877551,0,7,62.4225
2,0.16,0.17,343,31.486880466472307,8.16326530612245,12.066049205352467,-1056700.0,69.19241982507289,277,8.303249097472925,69.7216606498195,1,7,58.45737704918033
2,0.16,0.18,323,32.19814241486068,8.6687306501548,11.88101514391735,-856700.0,73.47678018575851,263,8.745247148288973,73.43307984790874,1,7,61.173170731707316
2,0.16,0.19,302,33.443708609271525,8.940397350993377,11.607803627628078,-713900.0,76.36092715231788,248,8.870967741935484,75.16491935483872,2,7,69.66944444444445
2,0.16,0.2,279,34.76702508960574,9.31899641577061,11.30774827721051,-579580.0,79.22652329749104,231,9.090909090909092,76.55454545454545,1,7,73.76764705882353
