variant,month,race_code,p,head_hit
CURRENT,2026-06,202606010101,0.5644668723288279,1
CURRENT,2026-06,202606010102,0.22736628056112126,0
CURRENT,2026-06,202606010103,0.24906348442779444,0
CURRENT,2026-06,202606010104,0.2489083117868305,0
CURRENT,2026-06,202606010105,0.6569006661590765,1
CURRENT,2026-06,202606010106,0.7885353621512005,0
CURRENT,2026-06,202606010107,0.7178276764281444,1
CURRENT,2026-06,202606010108,0.7542118625230931,0
CURRENT,2026-06,202606010109,0.5542763939760373,0
CURRENT,2026-06,202606010110,0.7684147075150564,1
CURRENT,2026-06,202606010111,0.6284600008821072,0
CURRENT,2026-06,202606010112,0.5571898890555927,1
CURRENT,2026-06,202606010501,0.36659003704811427,1
CURRENT,2026-06,202606010502,0.3243887595056927,0
CURRENT,2026-06,202606010503,0.5157780867134133,0
CURRENT,2026-06,202606010504,0.1168697735004258,1
CURRENT,2026-06,202606010506,0.16681249541456297,0
CURRENT,2026-06,202606010507,0.5031274478936657,0
CURRENT,2026-06,202606010508,0.5865430552487886,0
CURRENT,2026-06,202606010509,0.7077022703767873,0
CURRENT,2026-06,202606010510,0.6617348160046308,1
CURRENT,2026-06,202606010511,0.7633488671758375,0
CURRENT,2026-06,202606010512,0.7011926327828079,1
CURRENT,2026-06,202606010801,0.8215379992608242,1
CURRENT,2026-06,202606010802,0.5883934988093426,1
CURRENT,2026-06,202606010803,0.24210096819018964,1
CURRENT,2026-06,202606010804,0.31287534605962236,0
CURRENT,2026-06,202606010805,0.7123230117445302,1
CURRENT,2026-06,202606010806,0.6811044209620282,1
CURRENT,2026-06,202606010807,0.6467839502187328,1
CURRENT,2026-06,202606010808,0.3349495371518384,1
CURRENT,2026-06,202606010809,0.44353445821240983,0
CURRENT,2026-06,202606010810,0.6624123032172732,1
CURRENT,2026-06,202606010811,0.7433630721475301,1
CURRENT,2026-06,202606010812,0.630063187163425,1
CURRENT,2026-06,202606010901,0.7148057704428757,1
CURRENT,2026-06,202606010902,0.38154768587814253,0
CURRENT,2026-06,202606010903,0.7253722491876008,1
CURRENT,2026-06,202606010904,0.416824909830336,1
CURRENT,2026-06,202606010905,0.7856589929347317,1
CURRENT,2026-06,202606010906,0.808666829992308,1
CURRENT,2026-06,202606010907,0.2611582514394203,0
CURRENT,2026-06,202606010908,0.5923862242869674,1
CURRENT,2026-06,202606010909,0.6449578528958341,1
CURRENT,2026-06,202606010910,0.7169349803143061,1
CURRENT,2026-06,202606010911,0.6042701040711441,1
CURRENT,2026-06,202606010912,0.6817039470120788,1
CURRENT,2026-06,202606011101,0.29910033412234344,0
CURRENT,2026-06,202606011102,0.25191258266887584,0
CURRENT,2026-06,202606011103,0.29859542682112655,0
CURRENT,2026-06,202606011104,0.555510572987901,0
CURRENT,2026-06,202606011105,0.48729902229351246,1
CURRENT,2026-06,202606011106,0.2264795977133141,0
CURRENT,2026-06,202606011107,0.24543344701380287,0
CURRENT,2026-06,202606011108,0.30808392375074994,1
CURRENT,2026-06,202606011109,0.6469117004484464,1
CURRENT,2026-06,202606011110,0.604035951418075,0
CURRENT,2026-06,202606011111,0.7879917202563671,0
CURRENT,2026-06,202606011112,0.6345415820647394,1
CURRENT,2026-06,202606011201,0.542132150414256,0
CURRENT,2026-06,202606011202,0.5322010501865451,0
CURRENT,2026-06,202606011203,0.4146814962122299,0
CURRENT,2026-06,202606011205,0.6066766795917486,0
CURRENT,2026-06,202606011206,0.38703858260999074,1
CURRENT,2026-06,202606011207,0.605412711956489,1
CURRENT,2026-06,202606011208,0.4466497327319124,0
CURRENT,2026-06,202606011209,0.5486253002594422,1
CURRENT,2026-06,202606011210,0.6809971222137031,1
CURRENT,2026-06,202606011211,0.7493821657820746,1
CURRENT,2026-06,202606011212,0.7577513229436369,1
CURRENT,2026-06,202606011301,0.6673820883744994,1
CURRENT,2026-06,202606011302,0.5625970550825024,1
CURRENT,2026-06,202606011303,0.6715916993550082,1
CURRENT,2026-06,202606011304,0.4327133012064858,0
CURRENT,2026-06,202606011305,0.6484279702819692,1
CURRENT,2026-06,202606011306,0.8300645575958113,1
CURRENT,2026-06,202606011307,0.5271934308953399,1
CURRENT,2026-06,202606011308,0.5219646966041996,0
