actual_combo,actual_ticket_rank20,date,entry_course,entry_source,entry_status,escape_hit,ex_margin23,has_orig,has_stt,has_tkz,head,head_hit,kimarite,margin2,margin23,margin3,margin_all,month,one_direct,one_ex,one_grade,one_lap,one_local,one_meet_st_strength,one_motor,one_nst_strength,one_orig_avg,one_past_win,one_score,one_st,one_straight,one_turn,one_waku_sr_strength,one_waku_wr,one_wr,p1,p109,p1_refit_audit,payout100,period,race,race_code,ranked_others,st_margin2,st_margin23,st_margin3,straight_margin23,threat2,threat23_max,threat3,threat4,threat5,threat6,threat_all_max,tickets20_display,train_n109,turn_margin23,valid_payout,valid_result,venue,wf_month,winner
1-2-3,3,2026-06-01,1,snapshot,same,1,0.19999999999999996,1,1,1,1,1,逃げ,0.0005334415584414831,0.0005334415584414831,0.04876068831168823,0.0005334415584414831,2026-06,0.5233333333333333,1.0,0.38,0.0,0.3418181818181818,0.6500000000000001,0.6634285714285715,0.6428571428571428,0.26666666666666666,0.4,0.5239054545454545,0.6,0.8,0.0,0.6,0.85,0.31799999999999995,0.56446687,0.56446687,,890,holdout3,01R,202606010101,2-5-3-4-6,0.6,0.19999999999999996,0.19999999999999996,-0.19999999999999996,0.523372012987013,0.523372012987013,0.4751447662337662,0.3724467142857143,0.48914734415584415,0.3468207142857143,0.523372012987013,1-2-5;1-5-2;1-2-3;1-3-2;1-2-4;1-5-3;1-3-5;1-2-6;1-4-2;1-5-4;1-4-5;1-5-6;1-6-2;1-3-4;1-4-3;1-6-5;1-3-6;1-6-3;1-4-6;1-6-4,30613,-0.6,1,1,01,2026-06,1
2-4-5,0,2026-06-01,1,snapshot,same,0,-0.20000000000000007,1,1,1,1,0,まくり,-0.33359400000000006,-0.33359400000000006,-0.31873519480519474,-0.33359400000000006,2026-06,0.43666666666666665,0.6,0.38,0.8,0.3127272727272727,0.1499999999999999,0.0770857142857143,0.14285714285714277,0.5333333333333333,0.0,0.3239648961038961,0.6,0.8,0.0,0.1,0.6125,0.284,0.22736628,0.22736628,,6190,holdout3,02R,202606010102,2-4-3-5-6,-0.4,-0.4,0.19999999999999996,0.4,0.6575588961038962,0.6575588961038962,0.6427000909090909,0.6431264285714285,0.24273675324675323,0.24011485714285713,0.6575588961038962,1-2-4;1-4-2;1-2-3;1-3-2;1-2-5;1-4-3;1-3-4;1-2-6;1-5-2;1-4-5;1-5-4;1-4-6;1-6-2;1-3-5;1-5-3;1-6-4;1-3-6;1-6-3;1-5-6;1-6-5,30613,-0.4,1,1,01,2026-06,2
3-5-4,0,2026-06-01,1,snapshot,same,0,-0.8,1,1,1,1,0,まくり,0.03368709090909089,-0.17173238961038967,-0.17173238961038967,-0.2360735064935065,2026-06,0.2833333333333333,0.0,0.38,0.4,0.06000000000000001,0.25,0.5819428571428571,0.4285714285714285,0.6666666666666666,0.2,0.4213517142857142,0.0,1.0,0.6,0.48,0.775,0.35,0.24906348,0.24906348,,4470,holdout3,03R,202606010103,5-4-6-3-2,-0.19999999999999996,-0.4,-0.4,0.19999999999999996,0.38766462337662333,0.5930841038961039,0.5930841038961039,0.6399134805194805,0.6574252207792207,0.6079026883116884,0.6574252207792207,1-5-4;1-4-5;1-5-6;1-6-5;1-5-3;1-4-6;1-6-4;1-5-2;1-3-5;1-4-3;1-3-4;1-4-2;1-2-5;1-6-3;1-3-6;1-2-4;1-6-2;1-2-6;1-3-2;1-2-3,30613,0.4,1,1,01,2026-06,3
5-4-6,0,2026-06-01,1,snapshot,same,0,0.8,1,1,1,1,0,まくり,-0.10054542857142856,-0.10054542857142856,-0.07698268831168831,-0.402544896103896,2026-06,0.5966666666666667,1.0,0.15,0.4,0,0.7083333333333333,0.767942857142857,0.14285714285714277,0.5333333333333333,0.0,0.30730742857142856,0.19999999999999996,0.8,0.4,0.3,0.25,0,0.24890831,0.24890831,,2550,holdout3,04R,202606010104,4-6-5-2-3,-0.20000000000000007,-0.4,-0.4,0.20000000000000007,0.40785285714285713,0.40785285714285713,0.3842901168831169,0.7098523246753246,0.6112118441558442,0.6846002857142858,0.7098523246753246,1-4-6;1-6-4;1-4-5;1-5-4;1-4-2;1-6-5;1-5-6;1-4-3;1-2-4;1-6-2;1-2-6;1-6-3;1-3-4;1-5-2;1-2-5;1-3-6;1-5-3;1-3-5;1-2-3;1-3-2,30613,0.20000000000000007,1,1,01,2026-06,5
1-6-4,3,2026-06-01,1,snapshot,same,1,0.0,1,1,1,1,1,逃げ,0.2503077142857143,0.08854832467532459,0.08854832467532459,0.03037650649350654,2026-06,0.415,0.5,1.0,0.0,0.45454545454545453,0.5333333333333333,0.6439428571428572,0.6428571428571428,0.19999999999999998,0.8,0.6846710649350649,1.0,0.6,0.0,0.86,1,0.6119999999999999,0.65690067,0.65690067,,2390,holdout3,05R,202606010105,6-3-4-5-2,0.6,0.19999999999999996,0.19999999999999996,0.4,0.4343633506493506,0.5961227402597403,0.5961227402597403,0.5920196233766234,0.456941038961039,0.6542945584415584,0.6542945584415584,1-6-3;1-3-6;1-6-4;1-4-6;1-6-5;1-3-4;1-4-3;1-6-2;1-5-6;1-3-5;1-5-3;1-3-2;1-2-6;1-4-5;1-5-4;1-2-3;1-4-2;1-2-4;1-5-2;1-2-5,30613,-0.4,1,1,01,2026-06,1
4-1-6,0,2026-06-01,1,snapshot,same,0,-0.6,1,1,1,1,0,まくり,0.29950336363636365,0.29950336363636365,0.32156854545454544,0.21953462337662344,2026-06,0.3433333333333333,0.0,1.0,0.19999999999999996,0.8181818181818182,0.5166666666666667,0.6917714285714286,0.7857142857142856,0.4666666666666666,0.8888888888888888,0.727929974025974,1.0,1.0,0.19999999999999996,0.72,1,0.6439999999999999,0.78853536,0.78853536,,3070,holdout3,06R,202606010106,6-4-2-3-5,0.6,0.19999999999999996,0.19999999999999996,0.4,0.4284266103896104,0.4284266103896104,0.4063614285714286,0.45441976623376623,0.23341,0.5083953506493506,0.5083953506493506,1-6-4;1-4-6;1-6-2;1-2-6;1-6-3;1-4-2;1-2-4;1-6-5;1-3-6;1-4-3;1-3-4;1-4-5;1-5-6;1-2-3;1-3-2;1-5-4;1-2-5;1-5-2;1-3-5;1-5-3,30613,-0.6000000000000001,1,1,01,2026-06,4
1-4-2,7,2026-06-01,1,snapshot,same,0,0.0,1,1,1,1,1,抜き,0.1964296233766235,0.015882584415584433,0.015882584415584433,0.015882584415584433,2026-06,0.515,0.5,1.0,1.0,0.6727272727272727,0.7666666666666667,0.40359999999999996,0.7857142857142856,0.7999999999999999,0.6666666666666666,0.6441894675324676,0.4,1.0,0.4,0.74,0.8125,0.4880000000000001,0.71782768,0.71782768,,1780,holdout3,07R,202606010107,3-2-4-6-5,-0.4,-0.6,-0.6,0.19999999999999996,0.44775984415584413,0.6283068831168832,0.6283068831168832,0.43788512987012984,0.24684442857142858,0.32402,0.6283068831168832,1-3-2;1-2-3;1-3-4;1-4-3;1-3-6;1-2-4;1-4-2;1-3-5;1-6-3;1-2-6;1-6-2;1-2-5;1-5-3;1-4-6;1-6-4;1-5-2;1-4-5;1-5-4;1-6-5;1-5-6,30613,-0.19999999999999996,1,1,01,2026-06,1
4-2-1,0,2026-06-01,1,snapshot,same,0,0.19999999999999996,1,1,1,1,0,まくり,0.14763415584415585,0.14763415584415585,0.30206077922077923,0.044694714285714254,2026-06,0.47,1.0,0.72,0.19999999999999996,0.5345454545454547,0.7833333333333333,0.6439428571428572,0.5714285714285713,0.19999999999999998,0.7,0.6641824935064935,0.4,0.4,0.0,0.8800000000000001,1,0.6880000000000001,0.75421186,0.75421186,,15550,holdout3,08R,202606010108,5-2-4-6-3,0.20000000000000007,0.20000000000000007,0.4,-0.4,0.5165483376623377,0.5165483376623377,0.36212171428571427,0.4496604285714286,0.6194877792207792,0.37477296103896107,0.6194877792207792,1-5-2;1-2-5;1-5-4;1-4-5;1-5-6;1-2-4;1-4-2;1-5-3;1-6-5;1-2-6;1-6-2;1-2-3;1-3-5;1-4-6;1-6-4;1-3-2;1-4-3;1-3-4;1-6-3;1-3-6,30613,-0.4,1,1,01,2026-06,4
2-1-5,0,2026-06-01,1,snapshot,same,0,0.8,1,1,1,1,0,差し,0.04991584415584427,0.04991584415584427,0.08007625974026,0.015881623376623577,2026-06,0.4799999999999999,1.0,1.0,0.0,0.7981818181818181,0,0.24851428571428577,0.7142857142857141,0.19999999999999998,0.7,0.6619276883116885,0.19999999999999996,0.4,0.19999999999999996,0.78,1,0.6060000000000001,0.55427639,0.55427639,,3800,holdout3,09R,202606010109,6-2-3-5-4,-0.20000000000000007,-0.20000000000000007,0.19999999999999996,-0.4,0.6120118441558442,0.6120118441558442,0.5818514285714285,0.43681462337662336,0.47562785714285716,0.6460460649350649,0.6460460649350649,1-6-2;1-2-6;1-6-3;1-3-6;1-6-5;1-2-3;1-3-2;1-6-4;1-5-6;1-2-5;1-5-2;1-2-4;1-4-6;1-3-5;1-5-3;1-4-2;1-3-4;1-4-3;1-5-4;1-4-5,30613,-0.4,1,1,01,2026-06,2
1-2-5,17,2026-06-01,1,snapshot,same,1,0.8,1,1,1,1,1,逃げ,0.19525006493506503,0.02547031168831171,0.02547031168831171,0.02547031168831171,2026-06,0.52,1.0,1.0,0.8,0,0.736111111111111,0.8210857142857142,0.7142857142857141,0.6,0.6,0.7056502857142858,0.0,0.8,0.19999999999999996,0.62,1,0.6220000000000001,0.76841471,0.76841471,,1830,holdout3,10R,202606010110,3-6-2-4-5,-0.19999999999999996,-0.4,-0.4,0.6000000000000001,0.5104002207792208,0.6801799740259741,0.6801799740259741,0.4429883506493506,0.35171489610389606,0.6490000909090908,0.6801799740259741,1-3-6;1-6-3;1-3-2;1-2-3;1-3-4;1-6-2;1-2-6;1-3-5;1-4-3;1-6-4;1-4-6;1-6-5;1-5-3;1-2-4;1-4-2;1-5-6;1-2-5;1-5-2;1-4-5;1-5-4,30613,-0.20000000000000007,1,1,01,2026-06,1
